corpus,sentences,tokens (all),tokens (real),,,,,,
Balbilla,22,380,335,http://127.0.0.1:9999/search/word.html?text_corpus=literature_verse&text_author=Balbilla,,,,,
Sappho,267,3373,2974,http://127.0.0.1:9999/search/word.html?text_corpus=literature_verse&text_author=Sappho,,,,,
Literature verse,25012,364334,306610,includes balbilla and sappho,,,,,
,,,,,,,,,
,,,,,,,,,
Verbs,,,,,,,,,
Balbilla's verbs: http://127.0.0.1:9999/search/word.html?text_corpus=literature_verse&text_author=Balbilla&start=0&word_pos=Verb,,,,,,,,,
Sappho's verbs: http://127.0.0.1:9999/search/word.html?text_corpus=literature_verse&text_author=Sappho&start=0&word_pos=Verb,,,,,,,,,
tense,Balbilla,Sappho,as % of vbs,,,,,,
aorist,28,134,53.85%,31.90%,,,,,
present,17,191,32.69%,45.48%,,,,,
imperfect,7,43,13.46%,10.24%,,,,,
perfect,0,32,0.00%,7.62%,,,,,
future,0,19,0.00%,4.52%,,,,,
pluperfect,0,1,0.00%,0.24%,,,,,
,52,420,,,,,,,
mood,,,as % of vbs,,ADV,ADV,,,
indicative,30,217,57.69%,51.67%,,,,,
participle,14,78,26.92%,18.57%,64.29%,76.92%,,,
infinitive,3,51,5.77%,12.14%,,,,,
imperative,3,37,5.77%,8.81%,,,,,
optative,1,20,1.92%,4.76%,,,,,
subjunctive,1,17,1.92%,4.05%,,,,,
,,,,,,,,,
voice,,,,,,,,,
active,39,294,,,,,,,
middle,6,112,,,,,,,
medio-passive,4,,,,,,,,
passive,3,14,,,,,,,
,,,,,,,,,
person,Balbilla,Sappho,,,,,,,
1st sg,6,53,,,,,,,
2nd sg,6,67,,,,,,,
3rd sg,18,117,,,,,,,
1st pl,1,9,,,,,,,
2nd pl,0,9,,,,,,,
3rd pl,4,36,,,,,,,
total with person marking,35,291,,,,,,,
,,,,,,,,,
,,,,,,,,,
Pronouns,Balbilla,Sappho,,,,,,,
total,27,244,,,,in both ca. 8% of tokens are pronouns,,,
ἐγώ,5,67,,18.5%,27.5%,,,,
σύ,4,49,,14.8%,20.1%,,,,
ὁ,5,17,,18.5%,7.0%,false positives here (Balbilla),,,
ὅστις,0,15,,0.0%,6.1%,,,,
τις,0,13,,0.0%,5.3%,,,,
οὗτος,0,12,,0.0%,4.9%,,,,
ὅδε,2,12,,7.4%,4.9%,,,,
τίς,0,10,,0.0%,4.1%,,,,
αὐτός,3,6,,11.1%,2.5%,,,,
ἕ,2,2,,7.4%,0.8%,,,,
ὅσος,2,5,,7.4%,2.0%,,,,
καὐτός,1,0,,3.7%,0.0%,,,,
ἐκεῖνος,1,6,,3.7%,2.5%,,,,
ἐμός,1,8,,3.7%,3.3%,,,,
ἡμέτερος,1,1,,3.7%,0.4%,,,,
