Balbilla-verb-indicative: http://127.0.0.1:9999/search/word.html?text_corpus=literature_verse&text_author=Balbilla&word_pos=Verb&start=0&word_mood=indicative,,,,,,
ἐγενόμην,ὅτε σὺν τῇ Σεβαστῇ Σαβείνη|ι ἐγενόμην παρὰ τῷ Μέμνονι . [0],Balbilla2,1,"1ad
 2ad",singular,ADV
ἐνέποισιν,"Αὔως καὶ γεράρω , Μέμνον , πάϊ Τιθώνοιο , Θηβάας θάσσων ἄντα Δίος πόλιος , ἢ Ἀμένωθ , βασίλευ Αἰγύπτιε , τὼς ἐνέποισιν ἴρηες μύθων τῶν παλάων ἴδριες , χαῖρε , καὶ αὐδάσαις πρόφρων ἀσπάσ̣δ̣ε[ο] [κ]αὔτ[αν] τὰν σέμναν ἄλοχον κοιράνω Ἀδριάνω .",Balbilla2,2,"1ad
 2ad",plural,ATR
τμᾶξε,"γλῶσσαν μέν τοι τμᾶξε [κ]αὶ ὤατα βάρβαρο̣ς̣ ἄνηρ , Καμβύσαις ἄθεος ·",Balbilla2,3,"1ad
 2ad",singular,PRED
δῶκέν,τῶ ῥα λύγρῳ θαν̣άτῳ δῶκέν τοι ποίναν τʼ ὤτωι ἅκ[ρῳ] ἄορι πλάγεις τῷ νήλας Ἆπιν κάκτανε τὸν θέϊον .,Balbilla2,4,"1ad
 2ad",singular,PRED
κάκτανε,τῶ ῥα λύγρῳ θαν̣άτῳ δῶκέν τοι ποίναν τʼ ὤτωι ἅκ[ρῳ] ἄορι πλάγεις τῷ νήλας Ἆπιν κάκτανε τὸν θέϊον .,Balbilla2,4,"1ad
 2ad",singular,ATR
δοκίμωμι,"ἀλλ’ ἔγω οὐ δοκίμωμι σέθεν τόδ’ ὄ̣λ̣εσθ’ ἂ̣ν ἄγαλμα , ψύχαν δ’ ἀθανάταν λοίπ̣ο̣ν̣ ἔσωσ̣α̣ νόῳ .",Balbilla2,5,"1ad
 2ad",singular,PRED_CO
ἔσωσ̣α̣,"ἀλλ’ ἔγω οὐ δοκίμωμι σέθεν τόδ’ ὄ̣λ̣εσθ’ ἂ̣ν ἄγαλμα , ψύχαν δ’ ἀθανάταν λοίπ̣ο̣ν̣ ἔσωσ̣α̣ νόῳ .",Balbilla2,5,"1ad
 2ad",singular,PRED_CO
ἐγένο̣ντο,"εὐσέβεες γὰρ ἔμοι γένεται πάπποι τ’ ἐγένο̣ντο , Βάλβιλλός τ’ ὀ σόφος κ’ Ἀντίοχος βασίλευς , Βάλβιλλος γενέταις μᾶτρος βασιλήϊδος ἄμμας̣ , τῶ πάτε̣ρος δὲ πάτηρ Ἀντίοχος βασίλευς · [0] [1]",Balbilla2,6,"1ad
 2ad",plural,PRED
λόχον,"κήνων ἐκ γενέας κʼ ἄγω λόχον αἶμα τὸ κᾶλον , Βαλβίλλας δ’ ἔμεθεν γρόπτα τάδ’ εὐσέβεος . [0]",Balbilla2,7,"1ad
 2ad",singular,PRED_CO
ἤκουσε,ὅτε ἤκουσε τοῦ Μέμνο<νο>ς ὁ Σεβαστὸς Ἁδριανός . [0],Balbilla1,2,"1ad
 2ad",singular,ADV
